"Sociology","https://www.emeraldinsight.com/doi/book/10.1108/s1479-354720179","Volume 9 - Sociology Looking at Disability: What Did We Know and When Did We Know it","978-1-78635-478-5","978-1-78635-477-8","Sara E. Green, Sharon N. Barnartt","2016","","","Research in Social Science and Disability","1479-3547","Dr Barbara Altman, Dr Sharon Barnartt","Sociology,","1871-2673","Sociology,"
"Sociology","https://www.emeraldinsight.com/doi/book/10.1016/s1059-4337%282006%2938","Volume 38 - Studies in Law, Politics and Society","978-0-7623-1272-6","978-1-84950-387-7","Austin Sarat","2006","","Part I: Legal Acts and “Vulnerable” Populations;Part II: Law and Indigenous Groups","Studies in Law, Politics and Society","1059-4337","Professor Austin Sarat","Sociology","1871-2673","Sociology"
"HR, Learning & Organization Studies","https://www.emeraldinsight.com/doi/book/10.1016/s1534-0856%282002%294","Volume 4 - Toward Phenomenology of Groups and Group Membership","978-0-7623-0862-0","978-1-84950-144-6","Harris Sondak","2002","","","Research on Managing Groups and Teams","1534-0856","Professor Eduardo Salas","HR, Learning & Organization Studies","1352-7592","HR, Learning & Organization Studies"
"Business, Management & Strategy","https://www.emeraldinsight.com/loi/ijis","International Journal of Innovation Science","978-0-7623-1227-6","978-1-84950-356-3","Dean A. Shepherd, Jerome A. Katz","2005","","","Advances in Entrepreneurship, Firm Emergence and Growth","1074-7540","Professor Jerome Katz and Professor Andrew C. Corbett","Business, Management & Strategy,","1757-2223","Business, Management & Strategy,"
"Engineering","https://www.emeraldinsight.com/loi/ijicc","International Journal of Intelligent Computing and Cybernetics","","","","","","","Emerald Reach Proceedings Series","2516-2853","","Engineering","1756-378X","Engineering"
"HR, Learning & Organization Studies","https://www.emeraldinsight.com/doi/book/10.1016/s0733-558x%282006%2924","Volume 24 - Professional Service Firms","978-0-7623-1302-0","978-1-84950-407-2","Royston Greenwood, Roy Suddaby","2006","","","Research in the Sociology of Organizations","0733-558X","Professor Michael Lounsbury","HR, Learning & Organization Studies,","0048-3486","HR, Learning & Organization Studies,"
"Sociology","https://www.emeraldinsight.com/doi/book/10.1108/s1529-2126201622","Volume 22 - Gender and Food: From Production to Consumption and After","978-1-78635-054-1","978-1-78635-053-4","Marcia Texler Segal, Vasilikie Demos","2016","","Part I: Gender, Food and Social Change;Part II: Eating in Sickness and in Health;Part III: Food: Preparing and Serving it","Advances in Gender Research","1529-2126","Professor Vasilikie Demos, Professor Marcia Segal","Sociology","1757-0980","Sociology"
"Education","https://www.emeraldinsight.com/doi/book/10.1108/s1479-3539%282012%2918","Volume 18 - Beyond the Nation-State","978-1-78052-708-6","978-1-78052-709-3","David H. Kamens","2012","","","Research in the Sociology of Education","1479-3539","Professor Grace Kao and Associate Professor Hyunjoon Park","Education","2046-3162","Education"
"Education","https://www.emeraldinsight.com/series/sea","","978-1-84663-910-4","978-1-84663-911-1","Bruce Fuller, Melissa K. Henne, Emily Hannum","2008","","","Studies in Educational Administration","1479-3539","Professor Grace Kao and Associate Professor Hyunjoon Park","Education","1933-5415","Education"
"HR, Learning & Organization Studies","https://www.emeraldinsight.com/series/reio","","978-1-78190-692-7","978-1-78190-693-4","Paul Tracey, Nelson Phillips, Michael Lounsbury","2014","","Part I: Introduction;Part II: Studying Religion and Organization at the Micro-Level;Part III: Religious Organizational Forms and Practices;Part IV: Religion and Institutional Theory;Part V: Religion and Social Movements","Research in Ethical Issues in Organizations","1529-2096","Michael Schwartz and Howard Harris","HR, Learning & Organization Studies","0048-3486","HR, Learning & Organization Studies"
"Business, Management & Strategy","https://www.emeraldinsight.com/doi/book/10.1108/s1479-067x%282004%299","Volume 9 - Silicon Valley North","978-0-08-044457-4","978-1-84950-819-3","Larisa V. Shavinina","2004","","","Technology, Innovation, Entrepreneurship and Competitive Strategy","1479-067X","Barak S. Aharonson","Public Policy & Environmental Management","2177-8736","Public Policy & Environmental Management"
"HR, Learning & Organization Studies","https://www.emeraldinsight.com/series/cetm","","978-1-78756-188-5","978-1-78756-187-8","Michael Schwartz, Howard Harris, Debra R. Comer","2018","Corporate Ethics for Turbulent Markets: The Market Context of Executive Decisions focuses on the HOW of doing business – the economic, social, ethical, moral and spiritual values we bring to our business ventures - and how thereby we impact the world.","","Corporate Ethics for Turbulent Markets","1529-2096","Michael Schwartz and Howard Harris","HR, Learning & Organization Studies","1362-0436","HR, Learning & Organization Studies"
"HR, Learning & Organization Studies","https://www.emeraldinsight.com/series/fgm","","978-1-78714-239-8","978-1-78714-238-1","Rodolphe Durand, Nina Granqvist, Anna Tyllström","2017","","Section I: Introduction;Section II: Categorization as Politics and Strategy;Section III: Categorizing the Unknown;Section IV: Times and Places of Categorization","Frontiers in Global Management","0733-558X","Professor Michael Lounsbury","HR, Learning & Organization Studies","","HR, Learning & Organization Studies"
"Library Studies","https://www.emeraldinsight.com/loi/lm","Library Management","978-1-78052-714-7","978-1-78052-715-4","Amanda Spink, Jannica Heinström","2012","","Section I: Introduction;Section II: Library Policy and Practice;Section III: Research Perspectives;Section IV: Educational Perspectives;Section V: Cultural Perspectives","Library and Information Science","1876-0562","Professor Jens-Erik Mai","Library Studies","0143-5124","Library Studies"
"Business, Management & Strategy","https://www.emeraldinsight.com/doi/book/10.1108/9781787696259","SDG1 – No Poverty: Making the Dream a Reality","978-1-78769-628-0","978-1-78769-625-9","Stefania Mariano, Mirghani Mohamed, Qadir Mohiuddin","2018","This work provides a new look at global problems of poverty and presents applicable solutions to show that the global community can eliminate poverty today and achieve its global promise - Sustainable Development Goal 1 (SDG 1).","","Concise Guides to the United Nations Sustainable Development Goals","1876-066X","Professor Pervez Ghauri","Public Policy & Environmental Management","2177-8736","Public Policy & Environmental Management"
"Public Policy & Environmental Management","https://www.emeraldinsight.com/doi/book/10.1108/s0161-7230%282011%2927","Volume 27 - Revitalizing Marxist Theory for Today's Capitalism","978-1-78052-254-8","978-1-78052-255-5","Paul Zarembka, Radhika Desai","2011","","Part I: Growth and Finance: Mainstream Limitations and Marxist Insights;Part II: Discovering and Renewing Marxist Theory;Part III: Debating Positivist Marxism","Research in Political Economy","0161-7230","Professor Paul Zarembka","Public Policy & Environmental Management","2517-679X","Public Policy & Environmental Management"
"Information & Knowledge Management","https://www.emeraldinsight.com/doi/book/10.1108/s1876-0562%282012%295","Volume 5 - Social Information Research","978-1-78052-832-8","978-1-78052-833-5","Gunilla Widén, Kim Holmberg","2012","","Section I: Social Information – User Perspective and Social Construction;Section II: Social Information – Context Perspective;Section III: Social Information – Content Perspective","Library and Information Science","1876-0562","Professor Jens-Erik Mai","Library Studies,","0956-5698","Library Studies,"
"Operations, Logistics & Quality","https://www.emeraldinsight.com/loi/jeim","Journal of Enterprise Information Management","978-1-78743-082-2","978-1-78743-081-5","Huub Ruël","2017","","Part I Conceptualizing Business Diplomacy;Part II Topical Business Diplomacy;Part III Business Diplomacy","International Research in the Business Disciplines","1074-7877","Professor Craig S. Galbraith","Information & Knowledge Management","1741-0398","Information & Knowledge Management"
"Transport","https://www.emeraldinsight.com/doi/book/10.1108/9780080546438","Airport Design and Operation: Second Edition","978-0-08-045104-6","978-0-08-054643-8","Antonín Kazda, Robert E. Caves","2010","Traditionally airport design and airport operation have been treated separately, yet they are closely related and influence each other. Poor design adversely affects operation, while sound understanding of operation is needed to enable good design. The aim of this book is to present a new and integrated approach to the two.","","","","","","",""
"Business, Management & Strategy","https://www.emeraldinsight.com/doi/book/10.1108/s1074-7540%282013%2915","Volume 15 - Entrepreneurial Resourcefulness: Competing With Constraints","978-1-78190-018-5","978-1-78190-019-2","Andrew C. Corbett, Jerome A. Katz","2013","","","Advances in Entrepreneurship, Firm Emergence and Growth","1074-7540","Professor Jerome Katz and Professor Andrew C. Corbett","Business, Management & Strategy","2059-5794","Business, Management & Strategy"
"Education","https://www.emeraldinsight.com/doi/book/10.1108/s1479-3687%282012%2916","Volume 16 - Narrative Inquirers in the Midst of Meaning-making: Interpretive Acts of Teacher Educators","978-1-78052-924-0","978-1-78052-925-7","Elaine Chan, Dixie Keyes, Vicki Ross","2012","","","Advances in Research on Teaching","1479-3687","Dr Stefinee Pinnegar","Education","1750-497X","Education"
"Library Studies","https://www.emeraldinsight.com/doi/book/10.1108/s0065-2830%281998%2922","Volume 22 - Advances in Librarianship","978-0-12-024622-9","978-1-84950-877-3","Elizabeth A. Chapman","1998","","","Advances in Librarianship","0065-2830","Paul T. Jaeger","Library Studies,","","Library Studies,"
"Operations, Logistics & Quality","https://www.emeraldinsight.com/doi/book/10.1016/s1475-9144%282008%297","Volume 7 - Multi-Level Issues in Creativity and Innovation","978-0-7623-1476-8","978-1-84950-553-6","Michael D. Mumford, Samuel T. Hunter, Katrina E. Bedell-Avers","2008","","Part I: Creativity and Social Influence;Part II: Innovation and Planning;Part III: Creativity and Cognitive Processes;Part IV: Subsystem Configuration;Part V: New Venture Emergence;Part VI: About the Authors","Research in Multi Level Issues","1475-9144","Francis Yammarino and Fred Dansereau","Operations, Logistics & Quality,","2397-3757","Operations, Logistics & Quality,"
"Sociology","https://www.emeraldinsight.com/doi/book/10.1108/s0163-786x%282012%2933","Volume 33 - Media, Movements, and Political Change","978-1-78052-880-9","978-1-78052-881-6","Jennifer Earl, Deana A. Rohlinger","2012","","Part I: Expanding the Domains of Print Media;Part II: Contemporary Debates on Print Media;Part III: Online Media;Part IV: General Discussion","Research in Social Movements, Conflicts and Change","0163-786X","Dr Patrick G. Coy","Sociology","2050-8824","Sociology"
"HR, Learning & Organization Studies","https://www.emeraldinsight.com/doi/book/10.1108/s0733-558x%282013%2939_part_b","Volume 39 Part B - Institutional Logics in Action, Part B","978-1-78190-770-2","978-1-78190-771-9","Michael Lounsbury, Eva Boxenbaum","2013","","Institutional Complexity and Organizational Responses","Research in the Sociology of Organizations","0733-558X","Professor Michael Lounsbury","HR, Learning & Organization Studies,","0263-5577","HR, Learning & Organization Studies,"
"Accounting, Finance & Economics","https://www.emeraldinsight.com/doi/book/10.1108/s0193-2306%282012%2915","Volume 15 - New Advances in Experimental Research on Corruption","978-1-78052-784-0","978-1-78052-785-7","Danila Serra, Leonard Wantchekon","2012","","","Research in Experimental Economics","0193-2306","Professor R. Mark Isaac and Douglas A. Norton","Health & Social Care","1022-2529","Health & Social Care"
"Public Policy & Environmental Management","https://www.emeraldinsight.com/loi/dpm","Disaster Prevention and Management: An International Journal","978-0-85724-737-7","978-0-85724-738-4","Rajib Shaw, Koichi Shiwaku, Yukiko Takeuchi","2011","","","Community, Environment and Disaster Risk Management","2040-7262","William L. Waugh, Jr.","Public Policy & Environmental Management","0965-3562","Public Policy & Environmental Management"
"Health & Social Care","https://www.emeraldinsight.com/loi/cgij","Clinical Governance: An International Journal","978-0-7623-1147-7","978-1-84950-300-6","Jennie Jacobs Kronenfeld","2004","","","Research in the Sociology of Health Care","0275-4959","Dr. Leonard H. Friedman, Dr. Jim Goes, Professor Grant T. Savage","Health & Social Care","1477-7274","Health & Social Care"
"Sociology","https://www.emeraldinsight.com/doi/book/10.1016/s0196-1152%282008%2916","Volume 16 - Integrating the Sciences and Society: Challenges, Practices, and Potentials","978-1-84855-298-2","978-1-84855-299-9","Harriet Hartman","2008","","Part I: Introduction;Part II: Challenges;Part III: Practices;Part IV: Potentials;Part V: Epilogue","Research in Social Problems and Public Policy","0196-1152","Professor Ted I. K. Youn.","Sociology,","1460-8790","Sociology,"
"Marketing","https://www.emeraldinsight.com/doi/book/10.1108/s1548-6435201714","Volume 14 - Qualitative Consumer Research","978-1-78714-492-7","978-1-78714-491-0","Russell W. Belk","2017","","","Review of Marketing Research","1548-6435","Naresh K. Malhotra","Marketing","0968-4905","Marketing"
"HR, Learning & Organization Studies","https://www.emeraldinsight.com/doi/book/10.1108/s0882-6145%282009%2926","Volume 26 - Altruism and Prosocial Behavior in Groups","978-1-84855-572-3","978-1-84855-573-0","Shane R. Thye, Edward J. Lawler","2009","","","Advances in Group Processes","0882-6145","S.R.Thye and Edward Lawler","HR, Learning & Organization Studies","1012-8255","HR, Learning & Organization Studies"
"Public Policy & Environmental Management","https://www.emeraldinsight.com/doi/book/10.1016/s1572-8323%282008%297","Volume 7 - Armed Forces and Conflict Resolution: Sociological Perspectives","978-1-84855-122-0","978-1-84855-123-7","Giuseppe Caforio, Gerhard Kümmel, Bandana Purkayastha","2008","","Part I: The Military in the 21st Century – Wars and Conflicts;Part II: Militaries and Civil Societies Interfaces;Part III: Building and Sustaining Peace","Contributions to Conflict Management, Peace Economics and Development","1572-8323","Professor Manas Chatterji","Public Policy & Environmental Management,","0735-8547","Public Policy & Environmental Management,"
"HR, Learning & Organization Studies","https://www.emeraldinsight.com/doi/book/10.1108/s0897-3016%282011%2919","Volume 19 - Research in Organizational Change and Development","978-1-78052-022-3","978-1-78052-023-0","Abraham B. (Rami) Shani, Richard W. Woodman, William A. Pasmore","2011","","","Research in Organizational Change and Development","0897-3016","Richard Woodman, Professor William Pasmore, Abraham B. (Rami) Shani","HR, Learning & Organization Studies","0048-3486","HR, Learning & Organization Studies"
"Accounting, Finance & Economics","https://www.emeraldinsight.com/doi/book/10.1108/s0573-8555%281996%29235","Volume 235 - The Peace Dividend","978-0-444-82482-0","978-1-84950-853-7","N. P. Gleditsch, O. Bjerkholt, A. Cappelen, R. Smith, J. P. Dunne","1996","","","Contributions to Economic Analysis","0573-8555","Professor Badi H. Baltagi and Professor Efraim Sadka","Accounting, Finance & Economics","0114-0582","Accounting, Finance & Economics"
"Accounting, Finance & Economics","https://www.emeraldinsight.com/doi/book/10.1108/s1571-0386%282012%2922","Volume 22 - Recent Developments in Alternative Finance: Empirical Assessments and Economic Implications","978-1-78190-399-5","978-1-78190-400-8","William A. Barnett, Fredj Jawadi","2012","","","International Symposia in Economic Theory and Econometrics","1571-0386","Professor William Barnett","Accounting, Finance & Economics","1755-4179","Accounting, Finance & Economics"
"Education","https://www.emeraldinsight.com/doi/book/10.1108/s1479-3660201524","Volume 24 - Legal Frontiers in Education: Complex Law Issues for Leaders, Policymakers and Policy Implementers","978-1-78560-577-2","978-1-78560-576-5","Anthony H. Normore, Patricia A. L. Ehrensal, Patricia F. First, Mario S. Torres","2015","","","Advances in Educational Administration","1479-3660","Anthony H. Normore, Ph.D.","Education","2397-7604","Education"
"Information & Knowledge Management","https://www.emeraldinsight.com/doi/book/10.1016/s0065-2830%282004%2928","Volume 28 - Advances in Librarianship","978-0-12-024628-1","978-1-84950-005-0","Frederick C. Lynden","2004","","","Advances in Librarianship","0065-2830","Paul T. Jaeger","Library Studies,","2059-5891","Library Studies,"
"Information & Knowledge Management","https://www.emeraldinsight.com/doi/book/10.1108/s0065-2830%281995%2919","Volume 19 - Advances in Librarianship","978-0-12-024619-9","978-1-84950-881-0","Irene P. Godden","1995","","","Advances in Librarianship","0065-2830","Paul T. Jaeger","Library Studies,","","Library Studies,"
"Education","https://www.emeraldinsight.com/doi/book/10.1016/s1479-3687%282002%299","Volume 9 - Social Constructivist Teaching: Affordances and Constraints","978-0-7623-0873-6","978-1-84950-150-7","Jere Brophy","2002","","","Advances in Research on Teaching","1479-3687","Dr Stefinee Pinnegar","Education","0968-4883","Education"
"Sociology","https://www.emeraldinsight.com/doi/book/10.1108/s0895-9935%282010%2918","Volume 18 - Democratic Paths and Trends","978-0-85724-091-0","978-0-85724-092-7","Barbara Wejnert","2010","","Part I: General Concepts of Democratic Trends and Paths;Section B: Mixing Individual Case Studies with Issues of Global Democracy;Part II: The Case Studies;Part III: Discourse and Conclusions","Research in Political Sociology","0895-9935","Professor Julian Go","Sociology,","1757-0972","Sociology,"
"Education","https://www.emeraldinsight.com/doi/book/10.1108/s0749-7423201418","Volume 18 - Motivational Interventions","978-1-78350-555-5","978-1-78441-308-8","Stuart A. Karabenick, Timothy C. Urdan","2014","","","Advances in Motivation and Achievement","0749-7423","Stuart Karabenick and Timothy C. Urdan","Education","0743-7633","Education"
"HR, Learning & Organization Studies","https://www.emeraldinsight.com/doi/book/10.1108/s0733-558x201543","Volume 43 - Elites on Trial","978-1-78441-680-5","978-1-78441-679-9","Glenn Morgan, Paul Hirsch, Sigrid Quack","2015","","The New Context of Elites: Neo-Liberalism and Globalization;The Field of Power: The Changing Nature of Elite Networks;Elites and the Problem of Legitimacy;Elites and the Politics of Crisis","Research in the Sociology of Organizations","0733-558X","Professor Michael Lounsbury","HR, Learning & Organization Studies,","1477-7282","HR, Learning & Organization Studies,"
"Sociology","https://www.emeraldinsight.com/doi/book/10.1016/s1047-0042%282001%296","Volume 6 - Critical Perspectives on Urban Redevelopment","978-0-7623-0541-4","978-1-84950-035-7","Kevin Fox Gotham","2001","","","Research in Urban Sociology","1047-0042","Dr Ray Hutchison","Sociology","1757-0972","Sociology"
"Operations, Logistics & Quality","https://www.emeraldinsight.com/doi/book/10.1108/s1877-6361201717","Volume 17 - Age Diversity in the Workplace: An Organizational Perspective","978-1-78743-074-7","978-1-78743-073-0","Silvia Profili, Alessia Sammarra, Laura Innocenti","2017","","Part I Framing Age and Age Diversity in Organizations;Part II Age Diversity at Work. Rethinking Organizational Practices","Advanced Series in Management","1877-6361","Professor Miguel R. Olivas-Lujan and Professor Tanya Bondarouk","Operations, Logistics & Quality","1012-8255","Operations, Logistics & Quality"
"Operations, Logistics & Quality","https://www.emeraldinsight.com/doi/book/10.1016/s0733-558x%282000%2917","Volume 17 - Research in the Sociology of Organizations","978-0-7623-0632-9","978-1-84950-042-5","Paul Tracey, Nelson Phillips, Michael Lounsbury","2000","","","Research in the Sociology of Organizations","0733-558X","Professor Michael Lounsbury","HR, Learning & Organization Studies,","2531-0488","HR, Learning & Organization Studies,"
"Sociology","https://www.emeraldinsight.com/doi/book/10.1108/s1057-1922%282010%2915","Volume 15 - Welfare Reform in Rural Places: Comparative Perspectives","978-1-84950-918-3","978-1-84950-919-0","Paul Milbourne","2010","","","Research in Rural Sociology and Development","1057-1922","Professor Terry Marsden","Sociology","1871-2673","Sociology"
"Public Policy & Environmental Management","https://www.emeraldinsight.com/doi/book/10.1108/9781785606380","Community Management of Urban Open Spaces in Developing Economies","978-1-78560-639-7","978-1-78560-638-0","Liam Leonard","2016","Dr. Baharati Mohapatra examines the social, functional, physical and emotional aspects of neighborhood Open Space and the attitude of people for community participation in managing the Open Space, as well as development of a framework for community participation by integrating the social, psychological and spatial attributes.","","Advances in Ecopolitics","2041-806X","Liam Leonard","Public Policy & Environmental Management","0007-070X","Public Policy & Environmental Management"
"Library Studies","https://www.emeraldinsight.com/doi/book/10.1108/s1876-0562%282012%292","Volume 2 - Library and Information Science Trends and Research: Asia-Oceania","978-1-78052-470-2","978-1-78052-471-9","Amanda Spink, Diljit Singh","2012","","Section I: Introduction;Section II: Trends in Teaching and Education;Section III: Trends in Research","Library and Information Science","1876-0562","Professor Jens-Erik Mai","Library Studies,","0968-0810","Library Studies,"
"Public Policy & Environmental Management","https://www.emeraldinsight.com/doi/book/10.1016/s0196-1152%282003%2911","Volume 11 - Terrorism and Disaster: New Threats, New Ideas","978-0-7623-1043-2","978-1-84950-227-6","Lee Clarke","2003","","","Research in Social Problems and Public Policy","0196-1152","Professor Ted I. K. Youn.","Sociology,","1757-8043","Sociology,"
"Tourism & Hospitality","https://www.emeraldinsight.com/loi/jta","Journal of Tourism Analysis","978-1-78714-717-1","978-1-78714-716-4","Betteke Van Ruler, Iekje Smit, Øyvind Ihlen, Stefania Romenti","2017","","","Advances in Public Relations and Communication Management","2398-3914","Jafar Jafari","Tourism & Hospitality","2254-0644","Tourism & Hospitality"
"HR, Learning & Organization Studies","https://www.emeraldinsight.com/doi/book/10.1108/9781787145450","Insights and Research on the Study of Gender and Intersectionality in International Airline Cultures","978-1-78714-546-7","978-1-78714-545-0","Albert J. Mills","2017","This book brings together three decades of research by Albert J. Mills and his colleagues on the gendering of airline cultures over time. Inspired by feminist theory and drawing largely on archival research, it traces the way that gender discrimination develops, takes hold and changes in the formation of organizational cultures.","Section I Introduction: The Gendering of Organizational Culture Over Time;Section II Mapping Out Culture and Gendering Over Time;Section III Researching the Past;Section IV Gendering Over Time;Section V Toward Intersectionality in Time;Section VI Lessons Learned","Advances in Interdisciplinary Studies of Work Teams","1572-0977","Professor Michael Beyerlein","HR, Learning & Organization Studies","0263-5577","HR, Learning & Organization Studies"
"Health & Social Care","https://www.emeraldinsight.com/loi/jacpr","Journal of Aggression, Conflict and Peace Research","978-1-78190-124-3","978-1-78190-125-0","Jennie Jacobs Kronenfeld","2012","","Section I: Race/Ethnicity, Immigration, SES And Gender, as Factors in Health and Health Care;Section II: Race/Ethnicity, Immigration, and SES;Section III: Gender;Section IV: Policy Issues and Race/Ethnicity","Research in the Sociology of Health Care","0275-4959","Dr Barbara Altman, Dr Sharon Barnartt","Health & Social Care","1759-6599","Health & Social Care"
"Accounting, Finance & Economics","https://www.emeraldinsight.com/doi/book/10.1108/s1574-0765201620","Volume 20 - Research on Professional Responsibility and Ethics in Accounting","978-1-78560-974-9","978-1-78560-973-2","Cynthia Jeffrey","2016","","Part I: Research Articles;Part II: Special Section: Publishing Ethics Research;Part III: Research Notes","Research on Professional Responsibility and Ethics in Accounting","1574-0765","Professor Charles Richard Baker","Accounting, Finance & Economics","","Accounting, Finance & Economics"
"HR, Learning & Organization Studies","https://www.emeraldinsight.com/doi/book/10.1016/s0882-6145%282006%2923","Volume 23 - Advances in Group Processes","978-0-7623-1330-3","978-1-84950-429-4","Shane R. Thye, Edward J. Lawler","2006","","","Advances in Group Processes","0882-6145","S.R.Thye and Edward Lawler","HR, Learning & Organization Studies","1012-8255","HR, Learning & Organization Studies"
